Transaction_ID,Description,Category
1,Rent,Housing and Utilities
2,Electricity Bill,Housing and Utilities
3,Water Bill,Housing and Utilities
8,Home Insurance,Housing and Utilities
13,Metro Ticket,Transportation
17,Metro Ticket,Transportation
9,Car Insurance,Vehicle Maintenance
12,Café Noir,Food and Drinks
14,Lunch at Work Cafeteria,Food and Drinks
18,Lunch at Veggie Corner,Food and Drinks
15,Supermarket Express,Groceries
16,Bakery Deluxe,Groceries
19,Pharmacy,Health and Wellness
10,Health Insurance,Health and Wellness
6,Gym Membership,Entertainment
7,Netflix Subscription,Entertainment
11,Spotify Premium,Entertainment
6,Gym Membership,Subscriptions and Fees
7,Netflix Subscription,Subscriptions and Fees
11,Spotify Premium,Subscriptions and Fees
5,Mobile Phone Plan,Miscellaneous Expense
4,Internet Service,Miscellaneous Expense
0,Salary,Salary
20,Café Noir,Food and Drinks
22,Lunch at Pasta Paradise,Food and Drinks
24,Bakery Deluxe,Food and Drinks
26,Lunch at Sushi Express,Food and Drinks
28,Café Noir,Food and Drinks
30,Lunch at Burger Bliss,Food and Drinks
33,Coffee Bean,Food and Drinks
34,Pizza Pronto,Food and Drinks
38,Ice Cream Parlor,Food and Drinks
36,Brunch at Sunny Side Up,Food and Drinks
21,Metro Ticket,Transportation
25,Metro Ticket,Transportation
29,Metro Ticket,Transportation
32,Local Market,Groceries
39,Supermarket Express,Groceries
27,Cinema Ticket,Entertainment
37,Museum Entry,Entertainment
31,H&M,Shopping
35,Gas Station,Vehicle Maintenance
40,Café Noir,Food and Drinks
42,Lunch at Salad Bar,Food and Drinks
45,Bakery Deluxe,Food and Drinks
47,Lunch at Taco Fiesta,Food and Drinks
49,Café Noir,Food and Drinks
51,Lunch at Pho Delight,Food and Drinks
53,Bakery Deluxe,Food and Drinks
55,Lunch at Greek Taverna,Food and Drinks
57,Café Noir,Food and Drinks
59,Lunch at Indian Spice,Food and Drinks
41,Metro Ticket,Transportation
46,Metro Ticket,Transportation
50,Metro Ticket,Transportation
54,Metro Ticket,Transportation
58,Metro Ticket,Transportation
43,Office Supplies Store,Shopping
52,Electronics Store,Shopping
56,Concert Ticket,Entertainment
48,Dry Cleaning,Personal Care
44,Dividend Payment,Investments
60,Zara,Shopping
73,Stationery Shop,Shopping
61,Farmers Market,Groceries
69,Supermarket Express,Groceries
62,Coffee Bean,Food and Drinks
63,Italian Restaurant,Food and Drinks
66,Brunch at Crepe Corner,Food and Drinks
68,Gelato Shop,Food and Drinks
70,Café Noir,Food and Drinks
72,Lunch at Sandwich Spot,Food and Drinks
74,Bakery Deluxe,Food and Drinks
76,Lunch at Wok & Roll,Food and Drinks
78,Café Noir,Food and Drinks
64,Movie Rental,Entertainment
67,Botanical Garden Entry,Entertainment
71,Metro Ticket,Transportation
75,Metro Ticket,Transportation
79,Metro Ticket,Transportation
65,Freelance Payment,Miscellaneous Income
80,Lunch at Falafel House,Food and Drinks
82,Bakery Deluxe,Food and Drinks
84,Lunch at Smoothie Bar,Food and Drinks
89,Lunch at Ramen House,Food and Drinks
95,Brunch at Pancake Palace,Food and Drinks
97,Food Truck Festival,Food and Drinks
92,Coffee Bean,Food and Drinks
87,Café Noir,Food and Drinks
99,Café Noir,Food and Drinks
81,Sporting Goods Store,Shopping
85,Art Supply Shop,Shopping
90,Uniqlo,Shopping
91,Local Market,Shopping
98,Supermarket Express,Shopping
83,Metro Ticket,Transportation
88,Metro Ticket,Transportation
94,Car Wash,Vehicle Maintenance
