Date,Description,Amount (EUR)
2024-09-01,Rent,1200.00
2024-09-01,Electricity Bill,75.50
2024-09-01,Water Bill,30.00
2024-09-01,Internet Service,45.00
2024-09-01,Mobile Phone Plan,35.00
2024-09-01,Gym Membership,50.00
2024-09-01,Netflix Subscription,12.99
2024-09-01,Home Insurance,58.33
2024-09-01,Car Insurance,83.33
2024-09-01,Health Insurance,150.00
2024-09-01,Spotify Premium,9.99
2024-09-02,Café Noir,3.50
2024-09-02,Metro Ticket,2.80
2024-09-02,Work Cafeteria,8.50
2024-09-02,Supermarket Express,22.45
2024-09-03,Bakery Deluxe,4.75
2024-09-03,Metro Ticket,2.80
2024-09-03,Veggie Corner,11.50
2024-09-03,Pharmacy,15.60
2024-09-04,Café Noir,3.50
2024-09-04,Metro Ticket,2.80
2024-09-04,Pasta Paradise,13.75
2024-09-04,Bookstore,24.99
2024-09-05,Bakery Deluxe,4.75
2024-09-05,Metro Ticket,2.80
2024-09-05,Sushi Express,14.50
2024-09-05,Cinema Ticket,12.00
2024-09-06,Café Noir,3.50
2024-09-06,Metro Ticket,2.80
2024-09-06,Burger Bliss,10.99
2024-09-06,H&M,45.00
2024-09-07,Local Market,35.75
2024-09-07,Coffee Bean,4.25
2024-09-07,Pizza Pronto,18.50
2024-09-07,Gas Station,65.00
2024-09-08,Sunny Side Up,22.50
2024-09-08,Museum Entry,15.00
2024-09-08,Ice Cream Parlor,6.50
2024-09-08,Supermarket,28.75
2024-09-09,Café Noir,3.50
2024-09-09,Metro Ticket,2.80
2024-09-09,Salad Bar,9.75
2024-09-09,Office Supplies Store,13.25
2024-09-10,Bakery Deluxe,4.75
2024-09-10,Metro Ticket,2.80
2024-09-10,Taco Fiesta,12.50
2024-09-10,Dry Cleaning,22.00
2024-09-11,Café Milano,3.50
2024-09-11,Metro Ticket,2.80
2024-09-11,Pho Delight,11.25
2024-09-11,MediaMarkt Electronics Store,89.99
2024-09-12,Bakery Deluxe,4.75
2024-09-12,Metro Ticket,2.80
2024-09-12,Greek Taverna,14.75
2024-09-12,Concert Ticket,55.00
2024-09-13,Café Noir,3.50
2024-09-13,Metro Ticket,2.80
2024-09-13,Indian Spice,13.50
2024-09-13,Zara,68.00
2024-09-14,Farmers Market,42.50
2024-09-14,Coffee Bean,4.25
2024-09-14,L'osteria Italian Restaurant,35.75
2024-09-14,Movie Rental,4.99
2024-09-15,Crepe Corner,19.50
2024-09-15,Botanical Garden Entry,8.00
2024-09-15,Gelato Shop,5.50
2024-09-15,Supermarket Express,31.25
2024-09-16,Café Romana,3.50
2024-09-16,Metro Ticket,2.80
2024-09-16,Sandwich Spot,8.99
2024-09-16,Stationery Shop,7.50
2024-09-17,Bakery Deluxe,4.75
2024-09-17,Metro Ticket,2.80
2024-09-17,Wok & Roll,12.25
2024-09-17,Hardware Store,28.50
2024-09-18,Café Noir,3.50
2024-09-18,Metro Ticket,2.80
2024-09-18,Falafel House,10.50
2024-09-18,Decathlon Sporting Store,75.00
